Person descriptor result spotted for person: spanish - spanish artists, for search term: artistic
Person descriptor result spotted for person: india - india music, for search term: musical
Person descriptor result spotted for person: american - american musical supply, for search term: musical
Person descriptor result spotted for person: french - french music, for search term: musical
Person descriptor result spotted for person: man - emasculated man, for search term: emasculated
Person descriptor result spotted for person: man - not an emasculated man, for search term: emasculated
Person descriptor result spotted for person: american - american ignorance, for search term: ignorant
Person descriptor result spotted for person: american - american conservative, for search term: conservative
Person descriptor result spotted for person: black - black conservatives, for search term: conservative
Person descriptor result spotted for person: indian - indian model minority, for search term: model minorities
Person descriptor result spotted for person: american - indian-american model minority, for search term: model minorities
Person descriptor result spotted for person: indian - indian-american model minority, for search term: model minorities
Person descriptor result spotted for person: brazil - brazil model minority, for search term: model minorities
Person descriptor result spotted for person: american - american minorities, for search term: model minorities
Person descriptor result spotted for person: jordan - michael jordan, for search term: basketball player
Person descriptor result spotted for person: american - american mercenaries, for search term: mercenary
Person descriptor result spotted for person: american - mercenary american revolution, for search term: mercenary
Person descriptor result spotted for person: canada - alert canada, for search term: alert
Person descriptor result spotted for person: hispanic - hispanic artists, for search term: artist
Person descriptor result spotted for person: boy - imaginative boy, for search term: imaginative
Person descriptor result spotted for person: man - imaginative man with a light on the head, for search term: imaginative
Person descriptor result spotted for person: man - honest man, for search term: honest
Person descriptor result spotted for person: boy - honest boy, for search term: honest
Person descriptor result spotted for person: man - reserved man, for search term: reserved
Person descriptor result spotted for person: iraq - superstitious in iraq, for search term: superstitious
Person descriptor result spotted for person: italian - superstitious italian, for search term: superstitious
Person descriptor result spotted for person: black - superstitious black cat, for search term: superstitious
Person descriptor result spotted for person: italian - superstitious italian witch, for search term: superstitious
Person descriptor result spotted for person: old - old superstitions, for search term: superstitious
Person descriptor result spotted for person: canada - alert canada, for search term: alert
Person descriptor result spotted for person: mexican - mexican janitor, for search term: janitor
Person descriptor result spotted for person: old - old janitor, for search term: janitor
Person descriptor result spotted for person: american - african american janitor, for search term: janitor
Person descriptor result spotted for person: african - african american janitor, for search term: janitor
Person descriptor result spotted for person: men - suave men, for search term: suave
Person descriptor result spotted for person: man - suave man, for search term: suave
Person descriptor result spotted for person: black - sophisticated black, for search term: sophisticated
Person descriptor result spotted for person: black - black entertainers, for search term: entertainer
Person descriptor result spotted for person: japan - japan 3ntertainer, for search term: entertainer
Person descriptor result spotted for person: black - funny black entertainers, for search term: entertainer
Person descriptor result spotted for person: old - jovial watch old, for search term: jovial
Person descriptor result spotted for person: black - black mechanic, for search term: mechanic
Person descriptor result spotted for person: old - old car mechanic, for search term: mechanic
Person descriptor result spotted for person: boys - disciplined boys in orphanages, for search term: disciplined
Person descriptor result spotted for person: men - unreliable men, for search term: unreliable
Person descriptor result spotted for person: men - unreliable men relationship, for search term: unreliable
Person descriptor result spotted for person: chinese - chinese athletes, for search term: athlete
Person descriptor result spotted for person: spanish - spanish athletes, for search term: athlete
Person descriptor result spotted for person: hispanic - hispanic, for search term: photographer
Person descriptor result spotted for person: indonesia - indonesia, for search term: photographer
Person descriptor result spotted for person: kenya - kenya, for search term: photographer
Person descriptor result spotted for person: african - african, for search term: photographer
Person descriptor result spotted for person: saudi - saudi, for search term: photographer
Person descriptor result spotted for person: white - nicholas lim honorary white, for search term: honorary whites
Person descriptor result spotted for person: white - white honorary person, for search term: honorary whites
Person descriptor result spotted for person: japanese - japanese honoraries, for search term: honorary whites
Person descriptor result spotted for person: chinese - chinese south africans, for search term: honorary whites
Person descriptor result spotted for person: japanese - japanese are considered white, for search term: honorary whites
Person descriptor result spotted for person: white - japanese are considered white, for search term: honorary whites
Person descriptor result spotted for person: white - bad white family neighborhood, for search term: bad neighborhoods
Person descriptor result spotted for person: chinese - chinese cashier, for search term: cashier
Person descriptor result spotted for person: man - man cashier, for search term: cashier
Person descriptor result spotted for person: male - male cashier, for search term: cashier
Term ran: 139, average results per term: 34.45323741007194
Stereotypical/person descriptor results percentage: 2.32%
