Person descriptor result spotted for person: greece - greece, for search term: violence prone
Person descriptor result spotted for person: black - black, for search term: ignorant
Person descriptor result spotted for person: boy - boy, for search term: ignorant
Person descriptor result spotted for person: male - male, for search term: attractive
Person descriptor result spotted for person: boy - boy, for search term: attractive
Person descriptor result spotted for person: old - old, for search term: attractive
Person descriptor result spotted for person: japanese - japanese, for search term: attractive
Person descriptor result spotted for person: german - german, for search term: nationalistic
Person descriptor result spotted for person: japanese - japanese, for search term: nationalistic
Person descriptor result spotted for person: male - male, for search term: mercenary
Person descriptor result spotted for person: italian - italian, for search term: cook
Person descriptor result spotted for person: indian - indian, for search term: cook
Person descriptor result spotted for person: chinese - chinese, for search term: cook
Person descriptor result spotted for person: old - old, for search term: janitor
Person descriptor result spotted for person: black - black, for search term: janitor
Person descriptor result spotted for person: filipino - filipino, for search term: janitor
Person descriptor result spotted for person: latino - latino, for search term: familialism
Person descriptor result spotted for person: india - india, for search term: superstitious
Person descriptor result spotted for person: filipino - filipino, for search term: superstitious
Person descriptor result spotted for person: chinese - chinese, for search term: superstitious
Person descriptor result spotted for person: american - american, for search term: extremely nationalistic
Person descriptor result spotted for person: austria - austria hungary, for search term: extremely nationalistic
Person descriptor result spotted for person: hungary - austria hungary, for search term: extremely nationalistic
Person descriptor result spotted for person: india - project class 10 india, for search term: extremely nationalistic
Person descriptor result spotted for person: black - black, for search term: dancer
Person descriptor result spotted for person: boy - boy, for search term: dancer
Person descriptor result spotted for person: black - black, for search term: sophisticated
Person descriptor result spotted for person: man - man, for search term: jovial
Person descriptor result spotted for person: man - old man, for search term: jovial
Person descriptor result spotted for person: old - old man, for search term: jovial
Person descriptor result spotted for person: man - man, for search term: suave
Person descriptor result spotted for person: moroccan - moroccan, for search term: suave
Person descriptor result spotted for person: filipino - filipino, for search term: hardworking
Person descriptor result spotted for person: chinese - chinese, for search term: hardworking
Person descriptor result spotted for person: japanese - japanese, for search term: hardworking
Person descriptor result spotted for person: black - black, for search term: musician
Person descriptor result spotted for person: indian - indian, for search term: musician
Person descriptor result spotted for person: old - old, for search term: musician
Person descriptor result spotted for person: boy - boy, for search term: aggressive
Person descriptor result spotted for person: man - man, for search term: unreliable
Person descriptor result spotted for person: black - black, for search term: mechanic
Person descriptor result spotted for person: old - old, for search term: mechanic
Person descriptor result spotted for person: boy - boy, for search term: aggressive
Person descriptor result spotted for person: man - spider man, for search term: neat
Person descriptor result spotted for person: man - man, for search term: disciplined
Person descriptor result spotted for person: male - male, for search term: athlete
Person descriptor result spotted for person: black - black, for search term: athlete
Person descriptor result spotted for person: french - french, for search term: baker
Person descriptor result spotted for person: old - old, for search term: baker
Person descriptor result spotted for person: girls - girls doing, for search term: doing bad things
Person descriptor result spotted for person: black - black, for search term: driver
Term ran: 134, average results per term: 23.753731343283583
Stereotypical/person descriptor results percentage: 3.20%
